question,selected,diversity
非法微整形机构构成非法经营罪吗,"非法微整形机构是否构成非法经营罪？, 微整形机构未经许可从事服务是否会触犯非法经营罪的相关规定？, 非法经营微整形服务是否会被追究刑事责任？, 非法微整形机构会因扰乱市场秩序而被判定为非法经营罪吗？, 违反法律规定从事微整形是否属于非法经营？",4.459072977304459
入室持刀行凶伤人能不能判刑,"入室持刀伤人会被判刑吗？, 造成他人伤害的入室持刀行为会判几年？, 入室行凶持刀伤人会面临怎样的法律后果？, 以持刀方式入室伤人会被判多长时间？, 入室持刀造成他人伤害的刑罚是什么？",4.389940112829208
我在辅道正常右转进主道，主道有两个车，后面的车占用对向车道超车，撞了是谁的责任,"在辅道右转进入主道时，如果主道上有两辆车，后面的车占用对向车道超车并发生碰撞，应该由谁负责？, 发生事故时，辅道正常右转进入主道后，后面车辆越过对向车道超车撞到前车，责任如何认定？, 主道上两车并行，后方车辆超车进入对向车道发生碰撞，责任该如何划定？, 辅道右转进入主道时，后面的车辆因占用对向车道超车发生碰撞，这种情况下谁应承担责任？, 如果在辅道右转进入主道时发生交通事故，后面车辆占道超车撞击了前车，责任该如何划分？",3.6237542629241943
对交通事故责任认定书不服怎么办，交通事故损,"如果我对交通事故责任认定书有异议，应该怎么办？, 交通事故责任认定书下发后，有没有时间限制可以申请复议？, 交通事故认定书的处理结果不满意，复议要经过什么步骤？, 交通事故认定书发下来了，我不认同，如何向上级申诉？, 如果对交通事故责任认定书的内容不满，复议要在多少天内进行？",4.992690593004227
二审一般要多久,"二审一般需要多久才能审结？, 如何理解《民事诉讼法》对二审审限的规定？, 在二审中，哪些特殊情况可能导致审理时间延长？, 法院审理对裁定的上诉案件需要多久时间？, 二审审结的时间是否能根据具体情况进行调整？",7.052485004067421
欠钱没有欠条有录音能起诉吗,"如果没有欠条，但有录音证据能起诉吗？, 仅凭录音是否足以支持诉讼，而没有欠条的情况下？, 录音没有经过修改和剪辑，能作为有效证据吗？, 仅凭未经篡改的录音能否作为起诉依据，尽管没有欠条？, 没有书面欠条，只有录音的话能否向法院提起诉讼？",5.729151964187622
帮助别人套花呗违法吗,"用花呗套现收取手续费是否合法？, 收取手续费帮助他人通过花呗套现算不算犯罪？, 花呗套现时收取服务费用属于违法行为吗？, 帮助他人花呗套现并从中收取费用是否合法？, 通过花呗套现并收取费用会触犯什么法律？",4.3860457837581635
因工作被三处烫伤，伤为三级烫伤，三处都需要植皮，鉴定能达到几级？,"我因工作受伤，三处烫伤为三级烫伤，植皮治疗后，能评定为几级伤残？, 三级烫伤并且需要植皮，经过鉴定后会被评为什么等级的伤残？, 我工作时被烫伤三处，均为三级且需要植皮，伤残鉴定结果是多少？, 如果工作中遭遇三级烫伤并且需要植皮，伤残等级会评定为几级？, 三处三级烫伤需要植皮治疗，经过专业鉴定会评为几级伤残？",4.426954001188278
从合伙经营公司撤资，只给欠条有用吗,"从合伙公司撤资后，欠条是否有效？, 撤资之后，欠条能否在法律上被视为债务凭证？, 从合伙企业退出后，欠条能否替代其他法律文书证明债权？, 解除合伙关系后，是否仅凭欠条能够主张债权？, 撤资后欠条算不算合法的债务凭证？",5.298084080219269
事故中我摩托车付次要责任，自行车付主要责任，我怎赔他医药费,"如果我在摩托车事故中负次要责任，自行车方负主要责任，我需要赔偿他多少医药费？, 如果摩托车承担次要责任，交强险医疗费用额度内的部分我全额支付，剩余部分如何分担？, 交强险医疗费用已经支付的部分，我还需要负担多少责任来赔偿他方的医药费？, 如果我在事故中负次要责任，交强险的赔偿额度有限，我如何按比例支付超过额度的医疗费？, 在这起摩托车事故中，我的摩托车承担次要责任，自行车承担主要责任，那么我应该如何支付医药费用？",5.2657042145729065
车祸小脑出血昏迷了5天怎么办,"车祸导致小脑出血昏迷了5天，应该怎么处理？, 小脑出血昏迷五天后，如何通过交警认定事故责任？, 车祸造成的小脑出血昏迷5天，怎样通过法律途径解决赔偿问题？, 车祸昏迷5天的小脑出血患者如何进行责任认定与索赔？, 发生车祸后，小脑出血导致昏迷5天，接下来该如何应对？",4.371144503355026
哪些情况可以先行刑事拘留,"在哪些情况下可以对嫌疑人采取刑事拘留？, 公安机关拘留犯罪嫌疑人的依据是什么？, 刑事拘留的适用情形包括哪些具体情况？, 何种情形下，公安机关可以不经过审查直接拘留嫌疑人？, 如何判断是否可以对嫌疑人实施刑事拘留？",6.284007504582405
在工地上面出了安全事故怎么来维护自己的权,"如果在工地上发生了安全事故，应该如何保护自己的权益？, 受伤后如何申请工伤认定，并根据责任追求赔偿？, 如何确保在工地事故发生后能够获得合理的赔偿？, 受伤后，我如何向雇主和保险公司申请工伤赔偿？, 工地事故导致受伤，我应该如何维护自己的合法权益？",6.368547409772873
